,player,team,pos,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_td_perc,pass_int,pass_int_perc,pass_first_down,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,pass_sacked,pass_sacked_yds,pass_net_yds_per_att,pass_adj_net_yds_per_att,pass_sacked_perc,comebacks,gwd
19,Damon Huard,KAN,QB,206,332,62.0,2257,11,3.3,13,3.9,113,6.8,5.7,11.0,205.2,76.8,36,234,5.50,4.51,9.8,2,3
20,Jeff Garcia,TAM,QB,209,327,63.9,2440,13,4.0,4,1.2,111,7.5,7.7,11.7,187.7,94.6,19,104,6.75,6.98,5.5,0,1
21,David Garrard,JAX,QB,208,325,64.0,2509,18,5.5,3,0.9,127,7.7,8.4,12.1,209.1,102.2,21,99,6.97,7.62,6.1,1,2
22,Cleo Lemon,MIA,QB,173,309,56.0,1773,6,1.9,6,1.9,87,5.7,5.3,10.2,197.0,71.0,25,166,4.81,4.36,7.5,1,1
23,Tarvaris Jackson,MIN,QB,171,294,58.2,1911,9,3.1,12,4.1,95,6.5,5.3,11.2,159.3,70.8,19,70,5.88,4.73,6.1,1,2
24,Matt Schaub,HOU,QB,192,289,66.4,2241,9,3.1,9,3.1,97,7.8,7.0,11.7,203.7,87.2,16,126,6.93,6.20,5.2,1,1
25,Kyle Boller,BAL,QB,168,275,61.1,1743,9,3.3,10,3.6,89,6.3,5.4,10.4,145.3,75.2,24,159,5.30,4.39,8.0,0,1
26,Trent Edwards,BUF,QB,151,269,56.1,1630,7,2.6,8,3.0,82,6.1,5.2,10.8,163.0,70.4,12,105,5.43,4.64,4.3,1,2
27,Brian Griese,CHI,qb,161,262,61.5,1803,10,3.8,12,4.6,84,6.9,5.6,11.2,257.6,75.6,15,114,6.10,4.87,5.4,2,2
28,Chad Pennington,NYJ,qb,179,260,68.8,1765,10,3.8,9,3.5,89,6.8,6.0,9.9,196.1,86.1,26,178,5.55,4.83,9.1,,
29,Kellen Clemens,NYJ,QB,130,250,52.0,1529,5,2.0,10,4.0,82,6.1,4.7,11.8,152.9,60.9,27,138,5.02,3.76,9.7,1,2
30,Sage Rosenfels,HOU,qb,154,240,64.2,1684,15,6.3,12,5.0,93,7.0,6.0,10.9,187.1,84.8,6,48,6.65,5.67,2.4,,
31,Rex Grossman,CHI,QB,122,225,54.2,1411,4,1.8,7,3.1,67,6.3,5.2,11.6,176.4,66.4,25,198,4.85,3.91,10.0,2,2
32,Brodie Croyle,KAN,qb,127,224,56.7,1227,6,2.7,6,2.7,58,5.5,4.8,9.7,136.3,69.9,17,101,4.67,4.05,7.1,,
33,Trent Dilfer,SFO,qb,113,219,51.6,1166,7,3.2,12,5.5,61,5.3,3.5,10.3,166.6,55.1,27,182,4.00,2.37,11.0,1,0
34,Steve McNair,BAL,qb,133,205,64.9,1113,2,1.0,4,2.0,58,5.4,4.7,8.4,185.5,73.9,11,85,4.76,4.11,5.1,,
35,Alex Smith,SFO,QB,94,193,48.7,914,2,1.0,4,2.1,48,4.7,4.0,9.7,130.6,57.2,17,121,3.78,3.11,8.1,2,2
36,Josh McCown,OAK,QB,111,190,58.4,1151,10,5.3,11,5.8,56,6.1,4.5,10.4,127.9,69.4,14,92,5.19,3.75,6.9,,
37,Daunte Culpepper,OAK,qb,108,186,58.1,1331,5,2.7,5,2.7,60,7.2,6.5,12.3,190.1,78.0,21,130,5.80,5.20,10.1,1,1
38,J.P. Losman,BUF,qb,111,175,63.4,1204,4,2.3,6,3.4,57,6.9,5.8,10.8,150.5,76.9,14,103,5.83,4.82,7.4,2,3
39,Vinny Testaverde,CAR,QB,94,172,54.7,952,5,2.9,6,3.5,47,5.5,4.5,10.1,136.0,65.8,9,46,5.01,4.07,5.0,1,1
40,Gus Frerotte,STL,qb,94,167,56.3,1014,7,4.2,12,7.2,55,6.1,3.7,10.8,126.8,58.3,11,59,5.37,3.12,6.2,,
41,Chris Redman,ATL,,89,149,59.7,1079,10,6.7,5,3.4,48,7.2,7.1,12.1,154.1,90.4,9,51,6.51,6.35,5.7,1,1
42,Quinn Gray,JAX,,80,144,55.6,986,10,6.9,5,3.5,53,6.8,6.7,12.3,123.3,85.6,10,68,5.96,5.80,6.5,1,1
43,Trent Green,MIA,qb,85,141,60.3,987,5,3.5,7,5.0,50,7.0,5.5,11.6,197.4,72.6,7,53,6.31,4.86,4.7,,
44,Luke McCown,TAM,,94,139,67.6,1009,5,3.6,3,2.2,44,7.3,7.0,10.7,201.8,91.7,15,104,5.88,5.65,9.7,1,1
45,David Carr,CAR,,73,136,53.7,635,3,2.2,5,3.7,32,4.7,3.5,8.7,105.8,58.3,13,74,3.77,2.66,8.7,1,1
46,Matt Leinart,ARI,qb,60,112,53.6,647,2,1.8,4,3.6,33,5.8,4.5,10.8,129.4,61.9,4,23,5.38,4.17,3.4,1,1
47,Matt Moore,CAR,,63,111,56.8,730,3,2.7,5,4.5,37,6.6,5.1,11.6,81.1,67.0,6,40,5.90,4.49,5.1,0,1
48,John Beck,MIA,,60,107,56.1,559,1,0.9,3,2.8,23,5.2,4.1,9.3,111.8,62.0,10,69,4.19,3.21,8.5,,
49,Todd Collins,WAS,,67,105,63.8,888,5,4.8,0,0.0,42,8.5,9.4,13.3,222.0,106.4,7,47,7.51,8.40,6.3,,
50,A.J. Feeley,PHI,,59,103,57.3,681,5,4.9,8,7.8,34,6.6,4.1,11.5,227.0,61.2,3,10,6.33,3.88,2.8,,
51,Jake Delhomme,CAR,,55,86,64.0,624,8,9.3,1,1.2,27,7.3,8.6,11.3,208.0,111.8,5,46,6.35,7.62,5.5,,
52,Kelly Holcomb,MIN,,42,83,50.6,515,2,2.4,1,1.2,24,6.2,6.1,12.3,171.7,73.1,12,87,4.51,4.45,12.6,,
53,Kerry Collins,TEN,,50,82,61.0,531,0,0.0,0,0.0,30,6.5,6.5,10.6,88.5,79.9,5,42,5.62,5.62,5.7,1,2
54,Kyle Orton,CHI,,43,80,53.8,478,3,3.8,2,2.5,20,6.0,5.6,11.1,159.3,73.9,2,12,5.68,5.32,2.4,,
55,Shaun Hill,SFO,,54,79,68.4,501,5,6.3,1,1.3,26,6.3,7.0,9.3,167.0,101.3,6,31,5.53,6.18,7.1,,
56,Troy Smith,BAL,,40,76,52.6,452,2,2.6,0,0.0,24,5.9,6.5,11.3,113.0,79.5,4,29,5.29,5.79,5.0,,
57,JaMarcus Russell,OAK,,36,66,54.5,373,2,3.0,4,6.1,17,5.7,3.5,10.4,93.3,55.9,6,40,4.63,2.68,8.3,,
58,Byron Leftwich,ATL,,32,58,55.2,279,1,1.7,2,3.4,13,4.8,3.6,8.7,93.0,59.5,6,37,3.78,2.69,9.4,,
59,Brooks Bollinger,MIN,,33,50,66.0,391,1,2.0,1,2.0,18,7.8,7.3,11.8,78.2,88.0,7,36,6.23,5.79,12.3,1,1
60,Patrick Ramsey,DEN,,29,48,60.4,262,1,2.1,1,2.1,12,5.5,4.9,9.0,131.0,73.4,3,13,4.88,4.39,5.9,,
61,Charlie Batch,PIT,,17,36,47.2,232,2,5.6,3,8.3,10,6.4,3.8,13.6,33.1,52.1,0,0,6.44,3.81,0.0,,
62,Jim Sorgi,IND,,18,36,50.0,132,1,2.8,0,0.0,7,3.7,4.2,7.3,33.0,68.3,2,15,3.08,3.61,5.3,,
63,Brock Berlin,STL,,17,28,60.7,153,0,0.0,1,3.6,8,5.5,3.9,9.0,153.0,60.6,0,0,5.46,3.86,0.0,,
64,Aaron Rodgers,GNB,,20,28,71.4,218,1,3.6,0,0.0,9,7.8,8.5,10.9,109.0,106.0,3,24,6.26,6.90,9.7,,
65,Seneca Wallace,SEA,,19,28,67.9,215,2,7.1,1,3.6,7,7.7,7.5,11.3,21.5,99.6,3,13,6.52,6.35,9.7,,
66,Tim Rattay,ARI,,15,27,55.6,164,3,11.1,3,11.1,9,6.1,3.3,10.9,41.0,71.1,0,0,6.07,3.30,0.0,,
67,J.T. O'Sullivan,DET,,13,26,50.0,148,1,3.8,2,7.7,7,5.7,3.0,11.4,37.0,48.2,3,18,4.48,2.07,10.3,,
68,Bruce Gradkowski,TAM,,13,24,54.2,130,0,0.0,1,4.2,5,5.4,3.5,10.0,32.5,52.4,2,14,4.46,2.73,7.7,,
69,Chris Weinke,SFO,,13,22,59.1,104,1,4.5,0,0.0,5,4.7,5.6,8.0,52.0,86.2,5,31,2.70,3.44,18.5,,
70,Craig Nall,GNB,,7,15,46.7,88,1,6.7,0,0.0,4,5.9,7.2,12.6,88.0,87.6,1,10,4.88,6.13,6.3,,
71,Brad Johnson,DAL,,7,11,63.6,79,0,0.0,0,0.0,2,7.2,7.2,11.3,4.9,85.0,1,9,5.83,5.83,8.3,,
72,Charlie Frye,CLE,,4,10,40.0,34,0,0.0,1,10.0,2,3.4,-1.1,8.5,34.0,10.0,5,31,0.20,-2.80,33.3,,
73,Billy Volek,SDG,,3,10,30.0,6,0,0.0,1,10.0,0,0.6,-3.9,2.0,1.2,0.0,2,7,-0.08,-3.83,16.7,,
74,Jared Lorenzen,NYG,,4,8,50.0,28,0,0.0,0,0.0,1,3.5,3.5,7.0,14.0,58.3,1,5,2.56,2.56,11.1,,
75,Brady Quinn,CLE,,3,8,37.5,45,0,0.0,0,0.0,3,5.6,5.6,15.0,45.0,56.8,0,0,5.63,5.63,0.0,,
76,Andrew Walter,OAK,,5,8,62.5,38,0,0.0,0,0.0,2,4.8,4.8,7.6,38.0,74.0,0,0,4.75,4.75,0.0,,
77,Matt Cassel,NWE,,4,7,57.1,38,0,0.0,1,14.3,2,5.4,-1.0,9.5,6.3,32.7,0,0,5.43,-1.00,0.0,,
78,Anthony Wright,NYG,,1,7,14.3,12,0,0.0,0,0.0,1,1.7,1.7,12.0,4.0,39.6,0,0,1.71,1.71,0.0,,
79,Tyler Thigpen,KAN,,2,6,33.3,41,0,0.0,1,16.7,2,6.8,-0.7,20.5,41.0,18.7,1,9,4.57,-1.86,14.3,,
80,Antwaan Randle El,WAS,WR,1,2,50.0,19,0,0.0,0,0.0,1,9.5,9.5,19.0,1.3,83.3,0,0,9.50,9.50,0.0,,
81,Sidney Rice,MIN,,2,2,100.0,94,0,0.0,0,0.0,1,47.0,47.0,47.0,7.2,118.7,0,0,47.00,47.00,0.0,,
82,Marty Booker,MIA,WR,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
83,Mark Clayton,BAL,WR,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
84,Ronald Curry,OAK,WR,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
85,Robbie Gould,CHI,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
86,Matt Gutierrez,NWE,,1,1,100.0,15,0,0.0,0,0.0,1,15.0,15.0,15.0,3.0,118.7,0,0,15.00,15.00,0.0,,
87,Steven Jackson,STL,RB,1,1,100.0,2,1,100.0,0,0.0,1,2.0,22.0,2.0,0.2,118.7,0,0,2.00,22.00,0.0,,
88,Larry Johnson,KAN,RB,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
89,Chris Kluwe,MIN,,1,1,100.0,27,0,0.0,0,0.0,1,27.0,27.0,27.0,1.7,118.7,0,0,27.00,27.00,0.0,,
90,Greg Lewis,PHI,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
91,Marshawn Lynch,BUF,RB,1,1,100.0,8,1,100.0,0,0.0,1,8.0,28.0,8.0,0.6,139.6,0,0,8.00,28.00,0.0,,
92,Mewelde Moore,MIN,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
93,Willie Parker,PIT,RB,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
94,Adrian Peterson,CHI,rb,1,1,100.0,9,1,100.0,0,0.0,1,9.0,29.0,9.0,0.6,143.7,0,0,9.00,29.00,0.0,,
95,Clinton Portis,WAS,RB,1,1,100.0,15,1,100.0,0,0.0,1,15.0,35.0,15.0,0.9,158.3,1,2,6.50,16.50,50.0,,
96,Daniel Sepulveda,PIT,,1,1,100.0,32,0,0.0,0,0.0,1,32.0,32.0,32.0,2.0,118.7,0,0,32.00,32.00,0.0,,
97,Brad Smith,NYJ,WR,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
98,Chester Taylor,MIN,rb,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
99,LaDainian Tomlinson,SDG,RB,1,1,100.0,17,1,100.0,0,0.0,1,17.0,37.0,17.0,1.1,158.3,0,0,17.00,37.00,0.0,,
100,Leon Washington,NYJ,,1,1,100.0,36,0,0.0,0,0.0,1,36.0,36.0,36.0,2.3,118.7,0,0,36.00,36.00,0.0,,
